iter	Passed	Remaining
0	0	63
1	1	71
2	2	67
3	2	68
4	3	63
5	3	61
6	4	63
7	5	64
8	6	63
9	7	63
10	7	62
11	8	61
12	8	59
13	9	58
14	10	58
15	11	58
16	11	57
17	12	56
18	13	56
19	14	56
20	14	56
21	15	55
22	16	55
23	17	54
24	18	54
25	18	53
26	19	52
27	20	51
28	20	50
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	24	44
36	25	43
37	26	42
38	26	42
39	27	41
40	28	41
41	29	40
42	30	40
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	9
85	57	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
